state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh
FL,2000,Fire,Fl - Merritt Fire,200004,,2006-06-06T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,Flowers-Myakka Fire Complex,200005,,2007-06-05T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,Withlacoochee Fire Complex,200005,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,Lakeland District Fire,200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Bunnell Fire Complex",200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Orlando District Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Waccasassa Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Jacksonville Fire Complex",200006,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Suwannee Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Fire,"Fl, Perry Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Caloosahatchee Fire Complex,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Okeechobee Complex Fire,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Lakeland Complex Fire,200102,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Orlando Complex Fire,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Myakka Complex Fire,200104,,2004-05-15T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Everglades Fire Complex - 04/25/01,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Chipola River Fire Complex - 05/15/01,200105,2001-05-14T00:00:00Z,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Fl - Escambia Fire Complex - 05/16/01,200105,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Fire,Perry Fire Complex,200105,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z
FL,2006,Fire,Volusia Fire Complex,200605,2006-06-26T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,53 Big Pine Fire,200703,2007-03-28T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,Deland Fire Complex,200705,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,Suwannee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,Black Creek Fire,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,Calloosahatchee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Fire,Okeechobee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z
FL,2008,Fire,Brevard Fire Complex,200805,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z
FL,2009,Fire,Martin County Fire Complex,200905,,2012-12-17T00:00:00Z,2023-03-18T13:22:03Z
FL,2011,Fire,Slope Fire,201104,2011-05-31T00:00:00Z,2016-01-11T00:00:00Z,2023-03-18T13:22:03Z
FL,2017,Fire,30th Avenue Fire,201704,2017-06-05T00:00:00Z,,2023-03-18T13:22:03Z
FL,2017,Fire,Indian Lake Estates Fire,201704,2017-06-09T00:00:00Z,2019-08-21T00:00:00Z,2023-03-18T13:22:03Z
FL,2017,Fire,Lehigh Acres (Anna Ave. N.) Fire,201704,2017-05-11T00:00:00Z,2019-09-18T00:00:00Z,2023-03-18T13:22:03Z
FL,2020,Fire,5 Mile Swamp Fire,202005,2020-06-05T00:00:00Z,,2023-03-18T13:22:03Z
FL,2020,Fire,Mussett Bayou Fire,202005,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z
FL,2020,Fire,36th Avenue Fire,202005,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z
FL,2022,Fire,1707 Adkins Ave Fire,202203,2022-04-01T00:00:00Z,2022-12-15T00:00:00Z,2023-03-18T13:22:03Z
FL,2022,Fire,Chipola Fire Complex,202203,2022-04-01T00:00:00Z,,2023-03-18T13:22:03Z
