state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh
FL,2000,Hurricane,Tropical Storm Irene - Florida,199910,1999-10-19T00:00:00Z,2010-04-26T00:00:00Z,2023-03-18T13:22:03Z
FL,2000,Hurricane,Fl-Hurricane Irene-Dr-Req,199910,1999-10-24T00:00:00Z,,2023-03-24T16:02:01Z
FL,2004,Hurricane,Tropical Storm Bonnie And Hurricane Charley,200408,2004-08-30T00:00:00Z,2022-04-19T00:00:00Z,2023-03-18T13:22:03Z
FL,2004,Hurricane,Hurricane Frances,200409,2004-10-08T00:00:00Z,,2023-03-18T13:22:03Z
FL,2004,Hurricane,Hurricane Ivan,200409,2004-11-17T00:00:00Z,,2023-03-24T16:21:19Z
FL,2004,Hurricane,Hurricane Jeanne,200409,2004-11-17T00:00:00Z,,2023-03-18T13:22:03Z
FL,2005,Hurricane,Hurricane Dennis,200507,2005-07-20T00:00:00Z,,2023-03-24T16:21:19Z
FL,2005,Hurricane,Hurricane Katrina,200508,2005-09-06T00:00:00Z,2021-09-30T00:00:00Z,2023-03-18T13:22:03Z
FL,2005,Hurricane,Hurricane Katrina Evacuation,200508,2005-10-01T00:00:00Z,2012-07-03T00:00:00Z,2023-03-18T13:22:03Z
FL,2005,Hurricane,Tropical Storm Rita,200509,2005-10-23T00:00:00Z,2016-12-21T00:00:00Z,2023-03-18T13:22:03Z
FL,2006,Hurricane,Hurricane Wilma,200510,2005-11-18T00:00:00Z,,2023-03-18T13:22:03Z
FL,2008,Hurricane,Hurricane Ike,200809,2008-09-12T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z
FL,2009,Hurricane,Hurricane Gustav,200808,2008-09-07T00:00:00Z,2019-07-10T00:00:00Z,2023-03-18T13:22:03Z
FL,2013,Hurricane,Hurricane Isaac,201208,2012-08-29T00:00:00Z,,2023-03-18T13:22:03Z
FL,2016,Hurricane,Hurricane Hermine,201608,2016-09-11T00:00:00Z,,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,2019-07-29T00:00:00Z,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,2017-12-18T00:00:00Z,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-04T00:00:00Z,2018-03-28T00:00:00Z,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,,2023-03-18T13:22:03Z
FL,2017,Hurricane,Hurricane Irma - Seminole Tribe Of Florida,201709,2017-10-04T00:00:00Z,,2023-03-18T13:22:03Z
FL,2018,Hurricane,Hurricane Nate,201710,2017-10-11T00:00:00Z,,2023-03-18T13:22:03Z
FL,2019,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,2020-08-13T00:00:00Z,2023-03-18T13:22:03Z
FL,2019,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,,2023-03-18T13:22:03Z
FL,2019,Hurricane,Hurricane Dorian,201908,2019-09-09T00:00:00Z,2021-09-28T00:00:00Z,2023-03-18T13:22:03Z
FL,2019,Hurricane,Hurricane Dorian,201908,2019-09-04T00:00:00Z,2020-05-28T00:00:00Z,2023-03-18T13:22:03Z
FL,2020,Hurricane,Hurricane Dorian,201908,2019-09-09T00:00:00Z,,2023-03-18T13:22:03Z
FL,2020,Hurricane,Hurricane Isaias,202007,2020-08-04T00:00:00Z,,2023-03-18T13:22:03Z
FL,2020,Hurricane,Hurricane Sally,202009,2020-09-28T00:00:00Z,2021-01-25T00:00:00Z,2023-03-18T13:22:03Z
FL,2020,Hurricane,Hurricane Sally,202009,2020-09-28T00:00:00Z,,2023-03-18T13:22:03Z
FL,2021,Hurricane,Hurricane Eta,202011,2020-11-12T00:00:00Z,,2023-03-18T13:22:03Z
FL,2021,Hurricane,Tropical Storm Fred,202108,2021-08-19T00:00:00Z,,2023-03-18T13:22:03Z
FL,2022,Hurricane,Tropical Storm Ian,202209,2022-11-04T00:00:00Z,2023-02-22T00:00:00Z,2023-03-18T13:22:03Z
FL,2022,Hurricane,Hurricane Ian,202209,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z
FL,2022,Hurricane,Hurricane Ian - Seminole Tribe Of Florida,202209,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z
FL,2023,Hurricane,Hurricane Nicole,202211,2022-11-30T00:00:00Z,,2023-03-18T13:22:03Z
