month_year,incident_value
201501,0
201502,0
201503,0
201504,0
201505,0
201506,0
201507,0
201508,0
201509,0
201510,0
201511,0
201512,0
201601,0
201602,0
201603,0
201604,0
201605,0
201606,0
201607,0
201608,1
201609,0
201610,1
201611,0
201612,0
201701,0
201702,0
201703,0
201704,2
201705,0
201706,0
201707,0
201708,0
201709,1
201710,1
201711,0
201712,0
201801,0
201802,0
201803,0
201804,0
201805,0
201806,0
201807,0
201808,0
201809,0
201810,1
201811,0
201812,0
201901,0
201902,0
201903,0
201904,0
201905,0
201906,0
201907,0
201908,1
201909,0
201910,0
201911,0
201912,0
202001,0
202002,0
202003,0
202004,0
202005,2
202006,0
202007,1
202008,0
202009,1
202010,0
202011,1
202012,0
202101,0
202102,0
202103,0
202104,0
202105,0
202106,1
202107,1
202108,1
202109,0
202110,0
202111,0
202112,0
202201,0
202202,0
202203,2
202204,0
202205,0
202206,0
202207,0
202208,0
202209,1
202210,0
202211,1
202212,0
202301,0
202302,0
202303,0
202304,0
202305,0
202306,0
202307,0
202308,0
202309,0
202310,0
202311,0
202312,0
202401,0
202402,0
202403,0
