Monthly_MSL, Linear_Trend,month_year,median_listing_price,active_listing_count,new_listing_count,price_increased_count,price_reduced_count,average_listing_price,total_listing_count,Florida_average,incident_value,rent (average)
2800.0,0.058,201607,299999.0,136778.0,42536.0,4104.0,38108.0,580209.0,194338.0,197916.3177,0,1146.19408926842
1700.0000000000002,0.058,201608,299900.0,134952.0,41430.0,4448.0,37378.0,580758.0,189867.0,199189.4186,1,1150.19177458099
-3300.0,0.058,201609,299950.0,133846.0,40684.0,4314.0,39836.0,581230.0,186919.0,200619.5194,0,1153.38405761279
15700.0,0.058,201610,300000.0,136158.0,40220.0,4060.0,37900.0,583615.0,186701.0,202210.4087,1,1156.24548553859
13400.0,0.058,201611,300000.0,139417.0,41930.0,4950.0,41056.0,591032.0,188214.0,203666.6523,0,1165.82676168017
10000.0,0.059,201612,300000.0,139910.0,36888.0,4524.0,39428.0,598290.0,186492.0,204874.3636,0,1171.8036053587
200.0,0.059,201701,306495.0,141532.0,48090.0,4712.0,43036.0,603303.0,185696.0,205932.582,0,1178.49644832554
500.0,0.059,201702,309950.0,144278.0,48218.0,5198.0,50024.0,606740.0,196507.0,207116.9467,0,1178.15939339968
1400.0,0.059,201703,315000.0,143564.0,48126.0,5822.0,54200.0,610300.0,201115.0,208499.6028,0,1184.8521548968
8900.0,0.06,201704,319900.0,141598.0,47008.0,6636.0,55284.0,615738.0,201316.0,209968.5954,2,1191.42778588125
-3900.0,0.06,201705,319900.0,140730.0,46072.0,6238.0,49300.0,619340.0,200200.0,211255.1822,0,1196.53185306042
7099.999999999999,0.06,201706,319900.0,136242.0,42740.0,6112.0,49500.0,614989.0,193344.0,212582.0382,0,1201.54977359432
6900.000000000001,0.06,201707,319900.0,133863.0,44080.0,5864.0,49124.0,606780.0,187979.0,213842.669,0,1205.66206504408
12700.0,0.061,201708,319250.0,131602.0,44696.0,5740.0,44704.0,607307.0,183742.0,215265.9467,0,1210.02286916754
23800.0,0.061,201709,319000.0,128278.0,34132.0,4560.0,40156.0,608276.0,177424.0,216644.4834,1,1215.83889549674
14599.999999999998,0.061,201710,316995.0,129547.0,42470.0,5072.0,42626.0,606177.0,173951.0,218122.7781,1,1222.1816422986
12500.0,0.061,201711,319000.0,131487.0,42932.0,4728.0,42952.0,610235.0,178017.0,219644.0815,0,1231.09149966093
7500.0,0.062,201712,319844.0,132190.0,36324.0,5220.0,37740.0,615071.0,176051.0,221236.8045,0,1239.85626059822
3100.0,0.062,201801,320000.0,133041.0,49624.0,5166.0,44296.0,622276.0,174847.0,222653.4171,0,1244.72624812782
3100.0,0.062,201802,323927.0,136661.0,49350.0,5542.0,51020.0,623867.0,188004.0,223897.5656,0,1248.46376981516
14700.0,0.062,201803,325000.0,138383.0,53332.0,5964.0,53340.0,626388.0,195744.0,225149.0829,0,1251.89747191171
6000.0,0.063,201804,329000.0,137216.0,48354.0,7402.0,56924.0,626151.0,196895.0,226389.3886,0,1257.10924842815
-400.0,0.063,201805,329000.0,135921.0,47160.0,6892.0,55232.0,623045.0,195837.0,227675.7364,0,1264.19438755445
-1200.0,0.063,201806,329000.0,134335.0,44740.0,6396.0,55096.0,620674.0,190748.0,228759.3234,0,1267.30393876063
13500.0,0.063,201807,327752.0,134092.0,44034.0,6180.0,54382.0,615241.0,186733.0,230164.0073,0,1274.41433380738
3700.0,0.064,201808,325000.0,133695.0,42754.0,5372.0,50926.0,609847.0,183923.0,231536.2286,0,1278.49044472978
2000.0,0.064,201809,320000.0,135191.0,42124.0,5772.0,54540.0,602512.0,182715.0,232929.6731,0,1284.65603920285
