state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh
FL,2001,Severe Storm,Tropical Storm Helene,200009,2000-10-04T00:00:00Z,2012-05-14T00:00:00Z,2023-03-18T13:22:03Z
FL,2001,Severe Storm,Severe Storms And Flooding,200010,2000-10-11T00:00:00Z,,2023-03-24T16:02:01Z
FL,2001,Severe Storm,Tropical Storm Allison,200106,2001-06-15T00:00:00Z,2012-05-08T00:00:00Z,2023-03-18T13:22:03Z
FL,2003,Severe Storm,Severe Storms And Tornadoes,200303,2003-03-27T00:00:00Z,2010-11-08T00:00:00Z,2023-03-18T13:22:03Z
FL,2003,Severe Storm,Severe Storms And Flooding,200306,2003-08-22T00:00:00Z,2016-01-12T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Severe Storm,Severe Storms And Tornadoes,200702,2007-02-02T00:00:00Z,2021-08-25T00:00:00Z,2023-03-18T13:22:03Z
FL,2007,Severe Storm,"Severe Storms, Tornadoes, And Flooding",200612,2006-12-25T00:00:00Z,2014-05-07T00:00:00Z,2023-03-18T13:22:03Z
FL,2008,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,2019-09-30T00:00:00Z,2023-03-18T13:22:03Z
FL,2008,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,,2023-03-18T13:22:03Z
FL,2009,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200903,2009-05-05T00:00:00Z,,2023-03-18T13:22:03Z
FL,2009,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200905,2009-05-28T00:00:00Z,,2023-03-18T13:22:03Z
FL,2012,Severe Storm,Tropical Storm Debby,201206,2012-07-26T00:00:00Z,,2023-03-18T13:22:03Z
FL,2013,Severe Storm,Severe Storms And Flooding,201307,2013-07-07T00:00:00Z,,2023-03-18T13:22:03Z
FL,2014,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",201404,2014-05-06T00:00:00Z,,2023-03-18T13:22:03Z
FL,2021,Severe Storm,Tropical Storm Elsa,202107,2021-07-08T00:00:00Z,,2023-03-18T13:22:03Z
