state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh,Florida_average
FL,2000.0,Hurricane,Tropical Storm Irene - Florida,199910,1999-10-19T00:00:00Z,2010-04-26T00:00:00Z,2023-03-18T13:22:03Z,
FL,2000.0,Hurricane,Fl-Hurricane Irene-Dr-Req,199910,1999-10-24T00:00:00Z,,2023-03-24T16:02:01Z,
,,,,200001,,,,107057.8335
,,,,200002,,,,107289.7307
,,,,200003,,,,107570.8364
FL,2000.0,Fire,Fl - Merritt Fire,200004,,2006-06-06T00:00:00Z,2023-03-18T13:22:03Z,108142.2519
FL,2000.0,Fire,Flowers-Myakka Fire Complex,200005,,2007-06-05T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,Withlacoochee Fire Complex,200005,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,Lakeland District Fire,200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,"Fl, Bunnell Fire Complex",200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,"Fl, Orlando District Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,"Fl, Waccasassa Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000.0,Fire,"Fl, Jacksonville Fire Complex",200006,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000.0,Fire,"Fl, Suwannee Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000.0,Fire,"Fl, Perry Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
,,,,200007,,,,110018.9175
,,,,200008,,,,110662.2946
FL,2001.0,Severe Storm,Tropical Storm Helene,200009,2000-10-04T00:00:00Z,2012-05-14T00:00:00Z,2023-03-18T13:22:03Z,111329.1596
FL,2001.0,Severe Storm,Severe Storms And Flooding,200010,2000-10-11T00:00:00Z,,2023-03-24T16:02:01Z,112009.9247
,,,,200011,,,,112717.3521
FL,2001.0,Freezing,Severe Freeze,200012,2001-01-25T00:00:00Z,2010-05-14T00:00:00Z,2023-03-18T13:22:03Z,113447.003
,,,,200101,,,,114114.1754
FL,2001.0,Fire,Fl - Caloosahatchee Fire Complex,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001.0,Fire,Fl - Okeechobee Complex Fire,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001.0,Fire,Fl - Lakeland Complex Fire,200102,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
,,,,200103,,,,115469.9188
FL,2001.0,Fire,Fl - Orlando Complex Fire,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001.0,Fire,Fl - Myakka Complex Fire,200104,,2004-05-15T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001.0,Fire,Fl - Everglades Fire Complex - 04/25/01,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001.0,Fire,Fl - Chipola River Fire Complex - 05/15/01,200105,2001-05-14T00:00:00Z,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001.0,Fire,Fl - Escambia Fire Complex - 05/16/01,200105,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001.0,Fire,Perry Fire Complex,200105,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001.0,Severe Storm,Tropical Storm Allison,200106,2001-06-15T00:00:00Z,2012-05-08T00:00:00Z,2023-03-18T13:22:03Z,118120.6992
,,,,200107,,,,119126.7065
,,,,200108,,,,120193.0067
FL,2001.0,Coastal Storm,"Severe Storms, Tornadoes And Flooding Associated With Tropical Storm Gabrielle",200109,2001-09-21T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z,121298.454
,,,,200110,,,,122406.9346
,,,,200111,,,,123470.0101
,,,,200112,,,,124512.6213
,,,,200201,,,,125453.9831
,,,,200202,,,,126324.7546
,,,,200203,,,,127176.1112
,,,,200204,,,,128134.0447
,,,,200205,,,,129185.0872
,,,,200206,,,,130284.0069
,,,,200207,,,,131402.8106
,,,,200208,,,,132598.4835
,,,,200209,,,,133781.4043
,,,,200210,,,,134962.7739
,,,,200211,,,,136085.0602
,,,,200212,,,,137300.9406
,,,,200301,,,,138499.575
,,,,200302,,,,139731.3413
FL,2003.0,Severe Storm,Severe Storms And Tornadoes,200303,2003-03-27T00:00:00Z,2010-11-08T00:00:00Z,2023-03-18T13:22:03Z,140994.4667
,,,,200304,,,,142401.7722
,,,,200305,,,,143888.2682
FL,2003.0,Severe Storm,Severe Storms And Flooding,200306,2003-08-22T00:00:00Z,2016-01-12T00:00:00Z,2023-03-18T13:22:03Z,145363.2092
,,,,200307,,,,146823.4476
,,,,200308,,,,148316.485
,,,,200309,,,,149866.4456
,,,,200310,,,,151436.7297
,,,,200311,,,,152977.1608
,,,,200312,,,,154451.0052
,,,,200401,,,,155863.9862
,,,,200402,,,,157263.2447
,,,,200403,,,,158796.2809
,,,,200404,,,,160544.3539
,,,,200405,,,,162590.8617
,,,,200406,,,,164912.3329
,,,,200407,,,,167491.3647
FL,2004.0,Hurricane,Tropical Storm Bonnie And Hurricane Charley,200408,2004-08-30T00:00:00Z,2022-04-19T00:00:00Z,2023-03-18T13:22:03Z,170331.5313
FL,2004.0,Hurricane,Hurricane Frances,200409,2004-10-08T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
FL,2004.0,Hurricane,Hurricane Ivan,200409,2004-11-17T00:00:00Z,,2023-03-24T16:21:19Z,173215.5432
FL,2004.0,Hurricane,Hurricane Jeanne,200409,2004-11-17T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
,,,,200410,,,,175986.1291
,,,,200411,,,,178584.7469
,,,,200412,,,,181232.7273
,,,,200501,,,,183951.7991
,,,,200502,,,,186859.4456
,,,,200503,,,,190119.5179
,,,,200504,,,,193961.8361
,,,,200505,,,,198249.273
,,,,200506,,,,202897.0559
FL,2005.0,Hurricane,Hurricane Dennis,200507,2005-07-20T00:00:00Z,,2023-03-24T16:21:19Z,207856.9578
FL,2005.0,Hurricane,Hurricane Katrina,200508,2005-09-06T00:00:00Z,2021-09-30T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005.0,Hurricane,Hurricane Katrina Evacuation,200508,2005-10-01T00:00:00Z,2012-07-03T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005.0,Hurricane,Tropical Storm Rita,200509,2005-10-23T00:00:00Z,2016-12-21T00:00:00Z,2023-03-18T13:22:03Z,218007.6809
FL,2006.0,Hurricane,Hurricane Wilma,200510,2005-11-18T00:00:00Z,,2023-03-18T13:22:03Z,222635.0798
,,,,200511,,,,226913.387
,,,,200512,,,,230922.1599
,,,,200601,,,,234627.5659
,,,,200602,,,,238065.3643
,,,,200603,,,,241638.0139
,,,,200604,,,,245615.5714
FL,2006.0,Fire,Volusia Fire Complex,200605,2006-06-26T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249430.0782
,,,,200606,,,,252623.6953
,,,,200607,,,,254815.1985
,,,,200608,,,,256253.7781
,,,,200609,,,,256856.5178
,,,,200610,,,,256829.2743
,,,,200611,,,,256444.3683
FL,2007.0,Severe Storm,"Severe Storms, Tornadoes, And Flooding",200612,2006-12-25T00:00:00Z,2014-05-07T00:00:00Z,2023-03-18T13:22:03Z,255674.5071
,,,,200701,,,,254700.4863
FL,2007.0,Severe Storm,Severe Storms And Tornadoes,200702,2007-02-02T00:00:00Z,2021-08-25T00:00:00Z,2023-03-18T13:22:03Z,253647.63
FL,2007.0,Fire,53 Big Pine Fire,200703,2007-03-28T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,252437.8663
,,,,200704,,,,251040.8687
FL,2007.0,Fire,Deland Fire Complex,200705,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007.0,Fire,Suwannee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007.0,Fire,Black Creek Fire,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007.0,Fire,Calloosahatchee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007.0,Fire,Okeechobee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
,,,,200706,,,,246948.2719
,,,,200707,,,,244209.4483
,,,,200708,,,,241182.452
,,,,200709,,,,238083.4578
,,,,200710,,,,234913.9045
,,,,200711,,,,231599.7744
,,,,200712,,,,228238.692
,,,,200801,,,,224587.123
,,,,200802,,,,220983.133
,,,,200803,,,,217134.1025
,,,,200804,,,,213386.0892
FL,2008.0,Fire,Brevard Fire Complex,200805,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,209359.4159
,,,,200806,,,,205443.488
,,,,200807,,,,201439.6378
FL,2008.0,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,2019-09-30T00:00:00Z,2023-03-18T13:22:03Z,197276.9165
FL,2008.0,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,,2023-03-18T13:22:03Z,197276.9165
FL,2009.0,Hurricane,Hurricane Gustav,200808,2008-09-07T00:00:00Z,2019-07-10T00:00:00Z,2023-03-18T13:22:03Z,197276.9165
FL,2008.0,Hurricane,Hurricane Ike,200809,2008-09-12T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z,193043.501
,,,,200810,,,,188761.502
,,,,200811,,,,184551.2256
,,,,200812,,,,180525.7701
,,,,200901,,,,176739.6794
,,,,200902,,,,173375.4676
FL,2009.0,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200903,2009-05-05T00:00:00Z,,2023-03-18T13:22:03Z,170212.7667
,,,,200904,,,,167063.6635
FL,2009.0,Fire,Martin County Fire Complex,200905,,2012-12-17T00:00:00Z,2023-03-18T13:22:03Z,164017.1545
FL,2009.0,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200905,2009-05-28T00:00:00Z,,2023-03-18T13:22:03Z,164017.1545
,,,,200906,,,,161119.1444
,,,,200907,,,,158639.5056
,,,,200908,,,,156354.9327
,,,,200909,,,,154263.278
,,,,200910,,,,152493.7106
,,,,200911,,,,151313.8719
,,,,200912,,,,150417.2089
,,,,201001,,,,149726.9586
,,,,201002,,,,149125.8828
,,,,201003,,,,148716.4347
,,,,201004,,,,148358.9401
,,,,201005,,,,147895.4234
,,,,201006,,,,147196.457
,,,,201007,,,,146227.7622
,,,,201008,,,,145018.0906
,,,,201009,,,,143697.564
,,,,201010,,,,142316.5552
,,,,201011,,,,140918.0309
,,,,201012,,,,139584.956
,,,,201101,,,,138252.8233
,,,,201102,,,,136989.6333
,,,,201103,,,,135699.5119
FL,2011.0,Fire,Slope Fire,201104,2011-05-31T00:00:00Z,2016-01-11T00:00:00Z,2023-03-18T13:22:03Z,134451.3187
,,,,201105,,,,133204.6913
,,,,201106,,,,132077.8282
,,,,201107,,,,131039.3815
,,,,201108,,,,130222.352
,,,,201109,,,,129608.1772
,,,,201110,,,,129256.0873
,,,,201111,,,,129076.1114
,,,,201112,,,,128994.0746
,,,,201201,,,,129022.5631
,,,,201202,,,,129143.802
,,,,201203,,,,129337.7369
,,,,201204,,,,129699.1913
,,,,201205,,,,130167.1385
FL,2012.0,Severe Storm,Tropical Storm Debby,201206,2012-07-26T00:00:00Z,,2023-03-18T13:22:03Z,130801.2189
,,,,201207,,,,131437.237
FL,2013.0,Hurricane,Hurricane Isaac,201208,2012-08-29T00:00:00Z,,2023-03-18T13:22:03Z,132002.7909
,,,,201209,,,,132604.4376
,,,,201210,,,,133350.3767
,,,,201211,,,,134406.696
,,,,201212,,,,135814.5175
,,,,201301,,,,137424.6205
,,,,201302,,,,139068.3419
,,,,201303,,,,140745.7161
,,,,201304,,,,142473.3429
,,,,201305,,,,144421.9468
,,,,201306,,,,146331.4216
FL,2013.0,Severe Storm,Severe Storms And Flooding,201307,2013-07-07T00:00:00Z,,2023-03-18T13:22:03Z,148165.6502
,,,,201308,,,,149916.8719
,,,,201309,,,,151618.7664
,,,,201310,,,,153415.6066
,,,,201311,,,,155002.646
,,,,201312,,,,156621.8595
,,,,201401,,,,158163.0763
,,,,201402,,,,159824.0168
,,,,201403,,,,161381.687
FL,2014.0,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",201404,2014-05-06T00:00:00Z,,2023-03-18T13:22:03Z,162768.825
,,,,201405,,,,164137.0128
,,,,201406,,,,165270.831
,,,,201407,,,,166438.9391
,,,,201408,,,,167432.9441
,,,,201409,,,,168466.1261
,,,,201410,,,,169333.1949
,,,,201411,,,,170416.7565
,,,,201412,,,,171701.6288
,,,,201501,,,,173104.4403
,,,,201502,,,,174333.8896
,,,,201503,,,,175419.4294
,,,,201504,,,,176509.6815
,,,,201505,,,,177744.5992
,,,,201506,,,,179010.806
,,,,201507,,,,180454.5163
,,,,201508,,,,181982.9277
,,,,201509,,,,183645.5533
,,,,201510,,,,185382.9172
,,,,201511,,,,187058.1256
,,,,201512,,,,188613.4539
,,,,201601,,,,190047.098
,,,,201602,,,,191406.0534
,,,,201603,,,,192655.2408
,,,,201604,,,,193978.4265
,,,,201605,,,,195287.8331
,,,,201606,,,,196687.6022
,,,,201607,,,,197916.3177
FL,2016.0,Hurricane,Hurricane Hermine,201608,2016-09-11T00:00:00Z,,2023-03-18T13:22:03Z,199189.4186
,,,,201609,,,,200619.5194
FL,2017.0,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,2019-07-29T00:00:00Z,2023-03-18T13:22:03Z,202210.4087
FL,2017.0,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,,2023-03-18T13:22:03Z,202210.4087
,,,,201611,,,,203666.6523
,,,,201612,,,,204874.3636
,,,,201701,,,,205932.582
,,,,201702,,,,207116.9467
,,,,201703,,,,208499.6028
FL,2017.0,Fire,30th Avenue Fire,201704,2017-06-05T00:00:00Z,,2023-03-18T13:22:03Z,209968.5954
FL,2017.0,Fire,Indian Lake Estates Fire,201704,2017-06-09T00:00:00Z,2019-08-21T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
FL,2017.0,Fire,Lehigh Acres (Anna Ave. N.) Fire,201704,2017-05-11T00:00:00Z,2019-09-18T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
,,,,201705,,,,211255.1822
,,,,201706,,,,212582.0382
,,,,201707,,,,213842.669
,,,,201708,,,,215265.9467
FL,2017.0,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,2017-12-18T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017.0,Hurricane,Hurricane Irma,201709,2017-10-04T00:00:00Z,2018-03-28T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017.0,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2017.0,Hurricane,Hurricane Irma - Seminole Tribe Of Florida,201709,2017-10-04T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2018.0,Hurricane,Hurricane Nate,201710,2017-10-11T00:00:00Z,,2023-03-18T13:22:03Z,218122.7781
,,,,201711,,,,219644.0815
,,,,201712,,,,221236.8045
,,,,201801,,,,222653.4171
,,,,201802,,,,223897.5656
,,,,201803,,,,225149.0829
,,,,201804,,,,226389.3886
,,,,201805,,,,227675.7364
,,,,201806,,,,228759.3234
,,,,201807,,,,230164.0073
,,,,201808,,,,231536.2286
,,,,201809,,,,232929.6731
FL,2019.0,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,2020-08-13T00:00:00Z,2023-03-18T13:22:03Z,234076.4023
FL,2019.0,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,,2023-03-18T13:22:03Z,234076.4023
,,,,201811,,,,235294.1001
,,,,201812,,,,236610.1064
,,,,201901,,,,237797.7171
,,,,201902,,,,238863.3814
,,,,201903,,,,239583.9962
,,,,201904,,,,240104.3248
,,,,201905,,,,240383.9874
,,,,201906,,,,240789.1607
,,,,201907,,,,241313.0557
FL,2019.0,Hurricane,Hurricane Dorian,201908,2019-09-09T00:00:00Z,2021-09-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
FL,2019.0,Hurricane,Hurricane Dorian,201908,2019-09-04T00:00:00Z,2020-05-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
FL,2020.0,Hurricane,Hurricane Dorian,201908,2019-09-09T00:00:00Z,,2023-03-18T13:22:03Z,242027.5389
,,,,201909,,,,242737.8222
,,,,201910,,,,243679.0743
,,,,201911,,,,244966.489
,,,,201912,,,,246553.121
FL,2020.0,Biological,Covid-19,202001,,2020-05-28T00:00:00Z,2023-03-18T13:22:03Z,248475.3896
FL,2020.0,Biological,Covid-19,202001,,2020-04-21T00:00:00Z,2023-03-18T13:22:03Z,248475.3896
FL,2020.0,Biological,Covid-19 Pandemic,202001,,,2023-03-18T13:22:03Z,248475.3896
,,,,202002,,,,250286.419
,,,,202003,,,,251877.5508
,,,,202004,,,,252845.3701
FL,2020.0,Fire,5 Mile Swamp Fire,202005,2020-06-05T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
FL,2020.0,Fire,Mussett Bayou Fire,202005,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
FL,2020.0,Fire,36th Avenue Fire,202005,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
,,,,202006,,,,253246.1146
FL,2020.0,Hurricane,Hurricane Isaias,202007,2020-08-04T00:00:00Z,,2023-03-18T13:22:03Z,253817.7749
,,,,202008,,,,255393.5794
FL,2020.0,Hurricane,Hurricane Sally,202009,2020-09-28T00:00:00Z,2021-01-25T00:00:00Z,2023-03-18T13:22:03Z,257920.9389
FL,2020.0,Hurricane,Hurricane Sally,202009,2020-09-28T00:00:00Z,,2023-03-18T13:22:03Z,257920.9389
,,,,202010,,,,260911.6088
FL,2021.0,Hurricane,Hurricane Eta,202011,2020-11-12T00:00:00Z,,2023-03-18T13:22:03Z,264422.9684
,,,,202012,,,,267912.9574
,,,,202101,,,,271525.0382
,,,,202102,,,,275123.6836
,,,,202103,,,,278969.1305
,,,,202104,,,,283245.4723
,,,,202105,,,,288420.5267
FL,2021.0,Other,Surfside Building Collapse,202106,2021-07-04T00:00:00Z,,2023-03-18T13:22:03Z,294756.1139
FL,2021.0,Severe Storm,Tropical Storm Elsa,202107,2021-07-08T00:00:00Z,,2023-03-18T13:22:03Z,301244.058
FL,2021.0,Hurricane,Tropical Storm Fred,202108,2021-08-19T00:00:00Z,,2023-03-18T13:22:03Z,307016.0041
,,,,202109,,,,311692.9152
,,,,202110,,,,316297.745
,,,,202111,,,,321449.0411
,,,,202112,,,,327017.3001
,,,,202201,,,,334007.3944
,,,,202202,,,,342137.7508
FL,2022.0,Fire,1707 Adkins Ave Fire,202203,2022-04-01T00:00:00Z,2022-12-15T00:00:00Z,2023-03-18T13:22:03Z,351734.1805
FL,2022.0,Fire,Chipola Fire Complex,202203,2022-04-01T00:00:00Z,,2023-03-18T13:22:03Z,351734.1805
,,,,202204,,,,361825.7186
,,,,202205,,,,371497.3611
,,,,202206,,,,380094.2596
,,,,202207,,,,385927.3525
,,,,202208,,,,388879.8443
FL,2022.0,Hurricane,Tropical Storm Ian,202209,2022-11-04T00:00:00Z,2023-02-22T00:00:00Z,2023-03-18T13:22:03Z,389257.376
FL,2022.0,Hurricane,Hurricane Ian,202209,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z,389257.376
FL,2022.0,Hurricane,Hurricane Ian - Seminole Tribe Of Florida,202209,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z,389257.376
,,,,202210,,,,388774.9688
FL,2023.0,Tropical Storm,Tropical Storm Nicole,202211,2022-11-30T00:00:00Z,2023-02-21T00:00:00Z,2023-03-18T13:22:03Z,388068.6412
FL,2023.0,Tropical Storm,Seminole Tribe Of Florida Tropical Storm Nicole,202211,,,2023-03-18T13:22:03Z,388068.6412
FL,2023.0,Hurricane,Hurricane Nicole,202211,2022-11-30T00:00:00Z,,2023-03-18T13:22:03Z,388068.6412
,,,,202212,,,,387222.9791
,,,,202301,,,,385875.855
,,,,202302,,,,384735.1453
,,,,202303,,,,384271.1892
,,,,202304,,,,384716.3202
,,,,202305,,,,385769.5521
,,,,202306,,,,387444.5707
,,,,202307,,,,389148.0234
,,,,202308,,,,390836.1272
,,,,202309,,,,392010.106
,,,,202310,,,,393073.8159
,,,,202311,,,,394006.4609
,,,,202312,,,,394838.824
,,,,202401,,,,395544.8135
,,,,202402,,,,396272.8569
,,,,202403,,,,397137.437
