state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh,Florida_average
FL,2000,Hurricane,Tropical Storm Irene - Florida,199910,1999-10-19T00:00:00Z,2010-04-26T00:00:00Z,2023-03-18T13:22:03Z,
FL,2000,Hurricane,Fl-Hurricane Irene-Dr-Req,199910,1999-10-24T00:00:00Z,,2023-03-24T16:02:01Z,
FL,2000,Fire,Fl - Merritt Fire,200004,,2006-06-06T00:00:00Z,2023-03-18T13:22:03Z,108142.2519
FL,2000,Fire,Flowers-Myakka Fire Complex,200005,,2007-06-05T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,Withlacoochee Fire Complex,200005,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,Lakeland District Fire,200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Bunnell Fire Complex",200005,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Orlando District Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Waccasassa Fire Complex",200005,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Jacksonville Fire Complex",200006,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000,Fire,"Fl, Suwannee Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000,Fire,"Fl, Perry Fire Complex",200006,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2001,Severe Storm,Tropical Storm Helene,200009,2000-10-04T00:00:00Z,2012-05-14T00:00:00Z,2023-03-18T13:22:03Z,111329.1596
FL,2001,Severe Storm,Severe Storms And Flooding,200010,2000-10-11T00:00:00Z,,2023-03-24T16:02:01Z,112009.9247
FL,2001,Freezing,Severe Freeze,200012,2001-01-25T00:00:00Z,2010-05-14T00:00:00Z,2023-03-18T13:22:03Z,113447.003
FL,2001,Fire,Fl - Caloosahatchee Fire Complex,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Okeechobee Complex Fire,200102,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Lakeland Complex Fire,200102,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Orlando Complex Fire,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Myakka Complex Fire,200104,,2004-05-15T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Everglades Fire Complex - 04/25/01,200104,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Chipola River Fire Complex - 05/15/01,200105,2001-05-14T00:00:00Z,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001,Fire,Fl - Escambia Fire Complex - 05/16/01,200105,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001,Fire,Perry Fire Complex,200105,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001,Severe Storm,Tropical Storm Allison,200106,2001-06-15T00:00:00Z,2012-05-08T00:00:00Z,2023-03-18T13:22:03Z,118120.6992
FL,2001,Coastal Storm,"Severe Storms, Tornadoes And Flooding Associated With Tropical Storm Gabrielle",200109,2001-09-21T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z,121298.454
FL,2003,Severe Storm,Severe Storms And Tornadoes,200303,2003-03-27T00:00:00Z,2010-11-08T00:00:00Z,2023-03-18T13:22:03Z,140994.4667
FL,2003,Severe Storm,Severe Storms And Flooding,200306,2003-08-22T00:00:00Z,2016-01-12T00:00:00Z,2023-03-18T13:22:03Z,145363.2092
FL,2004,Hurricane,Tropical Storm Bonnie And Hurricane Charley,200408,2004-08-30T00:00:00Z,2022-04-19T00:00:00Z,2023-03-18T13:22:03Z,170331.5313
FL,2004,Hurricane,Hurricane Frances,200409,2004-10-08T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
FL,2004,Hurricane,Hurricane Ivan,200409,2004-11-17T00:00:00Z,,2023-03-24T16:21:19Z,173215.5432
FL,2004,Hurricane,Hurricane Jeanne,200409,2004-11-17T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
FL,2005,Hurricane,Hurricane Dennis,200507,2005-07-20T00:00:00Z,,2023-03-24T16:21:19Z,207856.9578
FL,2005,Hurricane,Hurricane Katrina,200508,2005-09-06T00:00:00Z,2021-09-30T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005,Hurricane,Hurricane Katrina Evacuation,200508,2005-10-01T00:00:00Z,2012-07-03T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005,Hurricane,Tropical Storm Rita,200509,2005-10-23T00:00:00Z,2016-12-21T00:00:00Z,2023-03-18T13:22:03Z,218007.6809
FL,2006,Hurricane,Hurricane Wilma,200510,2005-11-18T00:00:00Z,,2023-03-18T13:22:03Z,222635.0798
FL,2006,Fire,Volusia Fire Complex,200605,2006-06-26T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249430.0782
FL,2007,Severe Storm,Severe Storms And Tornadoes,200702,2007-02-02T00:00:00Z,2021-08-25T00:00:00Z,2023-03-18T13:22:03Z,253647.63
FL,2007,Severe Storm,"Severe Storms, Tornadoes, And Flooding",200612,2006-12-25T00:00:00Z,2014-05-07T00:00:00Z,2023-03-18T13:22:03Z,255674.5071
FL,2007,Fire,53 Big Pine Fire,200703,2007-03-28T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,252437.8663
FL,2007,Fire,Deland Fire Complex,200705,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Suwannee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Black Creek Fire,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Calloosahatchee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Okeechobee Fire Complex,200705,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2008,Fire,Brevard Fire Complex,200805,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,209359.4159
FL,2008,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,2019-09-30T00:00:00Z,2023-03-18T13:22:03Z,197276.9165
FL,2008,Severe Storm,Tropical Storm Fay,200808,2008-09-12T00:00:00Z,,2023-03-18T13:22:03Z,197276.9165
FL,2008,Hurricane,Hurricane Ike,200809,2008-09-12T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z,193043.501
FL,2009,Hurricane,Hurricane Gustav,200808,2008-09-07T00:00:00Z,2019-07-10T00:00:00Z,2023-03-18T13:22:03Z,197276.9165
FL,2009,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200903,2009-05-05T00:00:00Z,,2023-03-18T13:22:03Z,170212.7667
FL,2009,Fire,Martin County Fire Complex,200905,,2012-12-17T00:00:00Z,2023-03-18T13:22:03Z,164017.1545
FL,2009,Severe Storm,"Severe Storms, Flooding, Tornadoes, And Straight-Line Winds",200905,2009-05-28T00:00:00Z,,2023-03-18T13:22:03Z,164017.1545
FL,2011,Fire,Slope Fire,201104,2011-05-31T00:00:00Z,2016-01-11T00:00:00Z,2023-03-18T13:22:03Z,134451.3187
FL,2012,Severe Storm,Tropical Storm Debby,201206,2012-07-26T00:00:00Z,,2023-03-18T13:22:03Z,130801.2189
FL,2013,Hurricane,Hurricane Isaac,201208,2012-08-29T00:00:00Z,,2023-03-18T13:22:03Z,132002.7909
FL,2013,Severe Storm,Severe Storms And Flooding,201307,2013-07-07T00:00:00Z,,2023-03-18T13:22:03Z,148165.6502
FL,2014,Severe Storm,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",201404,2014-05-06T00:00:00Z,,2023-03-18T13:22:03Z,162768.825
FL,2016,Hurricane,Hurricane Hermine,201608,2016-09-11T00:00:00Z,,2023-03-18T13:22:03Z,199189.4186
FL,2017,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,2019-07-29T00:00:00Z,2023-03-18T13:22:03Z,202210.4087
FL,2017,Hurricane,Hurricane Matthew,201610,2016-10-19T00:00:00Z,,2023-03-18T13:22:03Z,202210.4087
FL,2017,Fire,30th Avenue Fire,201704,2017-06-05T00:00:00Z,,2023-03-18T13:22:03Z,209968.5954
FL,2017,Fire,Indian Lake Estates Fire,201704,2017-06-09T00:00:00Z,2019-08-21T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
FL,2017,Fire,Lehigh Acres (Anna Ave. N.) Fire,201704,2017-05-11T00:00:00Z,2019-09-18T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,2017-12-18T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-04T00:00:00Z,2018-03-28T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma,201709,2017-10-18T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma - Seminole Tribe Of Florida,201709,2017-10-04T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2018,Hurricane,Hurricane Nate,201710,2017-10-11T00:00:00Z,,2023-03-18T13:22:03Z,218122.7781
FL,2019,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,2020-08-13T00:00:00Z,2023-03-18T13:22:03Z,234076.4023
FL,2019,Hurricane,Hurricane Michael,201810,2018-10-19T00:00:00Z,,2023-03-18T13:22:03Z,234076.4023
FL,2019,Hurricane,Hurricane Dorian,201908,2019-09-09T00:00:00Z,2021-09-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
FL,2019,Hurricane,Hurricane Dorian,201908,2019-09-04T00:00:00Z,2020-05-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
