state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh,Florida_average
FL,2000,Fire,Fl - Merritt Fire,2000-04-01,,2006-06-06T00:00:00Z,2023-03-18T13:22:03Z,108142.2519
FL,2000,Fire,Flowers-Myakka Fire Complex,2000-05-01,,2007-06-05T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,Withlacoochee Fire Complex,2000-05-01,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,Lakeland District Fire,2000-05-01,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Bunnell Fire Complex",2000-05-01,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Orlando District Fire Complex",2000-05-01,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Waccasassa Fire Complex",2000-05-01,,2003-09-15T00:00:00Z,2023-03-18T13:22:03Z,108758.462
FL,2000,Fire,"Fl, Jacksonville Fire Complex",2000-06-01,,2004-05-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000,Fire,"Fl, Suwannee Fire Complex",2000-06-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2000,Fire,"Fl, Perry Fire Complex",2000-06-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,109387.1948
FL,2001,Fire,Fl - Caloosahatchee Fire Complex,2001-02-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Okeechobee Complex Fire,2001-02-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Lakeland Complex Fire,2001-02-01,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,114777.0118
FL,2001,Fire,Fl - Orlando Complex Fire,2001-04-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Myakka Complex Fire,2001-04-01,,2004-05-15T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Everglades Fire Complex - 04/25/01,2001-04-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,116288.4095
FL,2001,Fire,Fl - Chipola River Fire Complex - 05/15/01,2001-05-01,2001-05-14T00:00:00Z,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001,Fire,Fl - Escambia Fire Complex - 05/16/01,2001-05-01,,2003-09-16T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2001,Fire,Perry Fire Complex,2001-05-01,,2007-06-06T00:00:00Z,2023-03-18T13:22:03Z,117184.9037
FL,2006,Fire,Volusia Fire Complex,2006-05-01,2006-06-26T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249430.0782
FL,2007,Fire,53 Big Pine Fire,2007-03-01,2007-03-28T00:00:00Z,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,252437.8663
FL,2007,Fire,Deland Fire Complex,2007-05-01,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Suwannee Fire Complex,2007-05-01,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Black Creek Fire,2007-05-01,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Calloosahatchee Fire Complex,2007-05-01,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2007,Fire,Okeechobee Fire Complex,2007-05-01,,2010-09-16T00:00:00Z,2023-03-18T13:22:03Z,249221.7919
FL,2008,Fire,Brevard Fire Complex,2008-05-01,,2011-06-08T00:00:00Z,2023-03-18T13:22:03Z,209359.4159
FL,2009,Fire,Martin County Fire Complex,2009-05-01,,2012-12-17T00:00:00Z,2023-03-18T13:22:03Z,164017.1545
FL,2011,Fire,Slope Fire,2011-04-01,2011-05-31T00:00:00Z,2016-01-11T00:00:00Z,2023-03-18T13:22:03Z,134451.3187
FL,2017,Fire,30th Avenue Fire,2017-04-01,2017-06-05T00:00:00Z,,2023-03-18T13:22:03Z,209968.5954
FL,2017,Fire,Indian Lake Estates Fire,2017-04-01,2017-06-09T00:00:00Z,2019-08-21T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
FL,2017,Fire,Lehigh Acres (Anna Ave. N.) Fire,2017-04-01,2017-05-11T00:00:00Z,2019-09-18T00:00:00Z,2023-03-18T13:22:03Z,209968.5954
FL,2020,Fire,5 Mile Swamp Fire,2020-05-01,2020-06-05T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
FL,2020,Fire,Mussett Bayou Fire,2020-05-01,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
FL,2020,Fire,36th Avenue Fire,2020-05-01,2020-06-02T00:00:00Z,,2023-03-18T13:22:03Z,253112.2783
FL,2022,Fire,1707 Adkins Ave Fire,2022-03-01,2022-04-01T00:00:00Z,2022-12-15T00:00:00Z,2023-03-18T13:22:03Z,351734.1805
FL,2022,Fire,Chipola Fire Complex,2022-03-01,2022-04-01T00:00:00Z,,2023-03-18T13:22:03Z,351734.1805
