state,fy_declared,incident_type,declaration_title,datemonth,incident_end_date,disaster_closeout_date,last_refresh,Florida_average
FL,2004,Hurricane,Tropical Storm Bonnie And Hurricane Charley,2004-08-01,2004-08-30T00:00:00Z,2022-04-19T00:00:00Z,2023-03-18T13:22:03Z,170331.5313
FL,2004,Hurricane,Hurricane Frances,2004-09-01,2004-10-08T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
FL,2004,Hurricane,Hurricane Ivan,2004-09-01,2004-11-17T00:00:00Z,,2023-03-24T16:21:19Z,173215.5432
FL,2004,Hurricane,Hurricane Jeanne,2004-09-01,2004-11-17T00:00:00Z,,2023-03-18T13:22:03Z,173215.5432
FL,2005,Hurricane,Hurricane Dennis,2005-07-01,2005-07-20T00:00:00Z,,2023-03-24T16:21:19Z,207856.9578
FL,2005,Hurricane,Hurricane Katrina,2005-08-01,2005-09-06T00:00:00Z,2021-09-30T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005,Hurricane,Hurricane Katrina Evacuation,2005-08-01,2005-10-01T00:00:00Z,2012-07-03T00:00:00Z,2023-03-18T13:22:03Z,212983.2665
FL,2005,Hurricane,Tropical Storm Rita,2005-09-01,2005-10-23T00:00:00Z,2016-12-21T00:00:00Z,2023-03-18T13:22:03Z,218007.6809
FL,2006,Hurricane,Hurricane Wilma,2005-10-01,2005-11-18T00:00:00Z,,2023-03-18T13:22:03Z,222635.0798
FL,2008,Hurricane,Hurricane Ike,2008-09-01,2008-09-12T00:00:00Z,2017-09-28T00:00:00Z,2023-03-18T13:22:03Z,193043.501
FL,2009,Hurricane,Hurricane Gustav,2008-08-01,2008-09-07T00:00:00Z,2019-07-10T00:00:00Z,2023-03-18T13:22:03Z,197276.9165
FL,2013,Hurricane,Hurricane Isaac,2012-08-01,2012-08-29T00:00:00Z,,2023-03-18T13:22:03Z,132002.7909
FL,2016,Hurricane,Hurricane Hermine,2016-08-01,2016-09-11T00:00:00Z,,2023-03-18T13:22:03Z,199189.4186
FL,2017,Hurricane,Hurricane Matthew,2016-10-01,2016-10-19T00:00:00Z,2019-07-29T00:00:00Z,2023-03-18T13:22:03Z,202210.4087
FL,2017,Hurricane,Hurricane Matthew,2016-10-01,2016-10-19T00:00:00Z,,2023-03-18T13:22:03Z,202210.4087
FL,2017,Hurricane,Hurricane Irma,2017-09-01,2017-10-18T00:00:00Z,2017-12-18T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma,2017-09-01,2017-10-04T00:00:00Z,2018-03-28T00:00:00Z,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma,2017-09-01,2017-10-18T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2017,Hurricane,Hurricane Irma - Seminole Tribe Of Florida,2017-09-01,2017-10-04T00:00:00Z,,2023-03-18T13:22:03Z,216644.4834
FL,2018,Hurricane,Hurricane Nate,2017-10-01,2017-10-11T00:00:00Z,,2023-03-18T13:22:03Z,218122.7781
FL,2019,Hurricane,Hurricane Michael,2018-10-01,2018-10-19T00:00:00Z,2020-08-13T00:00:00Z,2023-03-18T13:22:03Z,234076.4023
FL,2019,Hurricane,Hurricane Michael,2018-10-01,2018-10-19T00:00:00Z,,2023-03-18T13:22:03Z,234076.4023
FL,2019,Hurricane,Hurricane Dorian,2019-08-01,2019-09-09T00:00:00Z,2021-09-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
FL,2019,Hurricane,Hurricane Dorian,2019-08-01,2019-09-04T00:00:00Z,2020-05-28T00:00:00Z,2023-03-18T13:22:03Z,242027.5389
FL,2020,Hurricane,Hurricane Dorian,2019-08-01,2019-09-09T00:00:00Z,,2023-03-18T13:22:03Z,242027.5389
FL,2020,Hurricane,Hurricane Isaias,2020-07-01,2020-08-04T00:00:00Z,,2023-03-18T13:22:03Z,253817.7749
FL,2020,Hurricane,Hurricane Sally,2020-09-01,2020-09-28T00:00:00Z,2021-01-25T00:00:00Z,2023-03-18T13:22:03Z,257920.9389
FL,2020,Hurricane,Hurricane Sally,2020-09-01,2020-09-28T00:00:00Z,,2023-03-18T13:22:03Z,257920.9389
FL,2021,Hurricane,Hurricane Eta,2020-11-01,2020-11-12T00:00:00Z,,2023-03-18T13:22:03Z,264422.9684
FL,2021,Hurricane,Tropical Storm Fred,2021-08-01,2021-08-19T00:00:00Z,,2023-03-18T13:22:03Z,307016.0041
FL,2022,Hurricane,Tropical Storm Ian,2022-09-01,2022-11-04T00:00:00Z,2023-02-22T00:00:00Z,2023-03-18T13:22:03Z,389257.376
FL,2022,Hurricane,Hurricane Ian,2022-09-01,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z,389257.376
FL,2022,Hurricane,Hurricane Ian - Seminole Tribe Of Florida,2022-09-01,2022-11-04T00:00:00Z,,2023-03-18T13:22:03Z,389257.376
FL,2023,Hurricane,Hurricane Nicole,2022-11-01,2022-11-30T00:00:00Z,,2023-03-18T13:22:03Z,388068.6412
